Date,GRUMAB,LABB,GCC,IPC,CETES 356 DÍAS,Ren. Port.
07/01/2020,-0.011147456,0.004241788,0.000601896,-0.007613807,-0.0029202785,-0.004561299
06/01/2020,-0.012438294,0.001595268,-0.007597777,-0.002907331,0.0050672492,0.00108718
03/01/2020,0.009530572,0.00053234,-0.005759639,0.004213272,-0.0407751001,-0.000602434
02/01/2020,0.005567682,0.010706794,-0.005332829,0.020374171,0.0179809898,-0.001361491
31/12/2019,0,0,0,-0.00267117,-0.0337996876,-0.005404537
30/12/2019,-0.016661075,-0.032824598,0.009798643,-0.013740848,0.0408912362,0.000174734
27/12/2019,0.015790732,-0.011907932,-0.009700126,-0.000873067,0.0023108040,0.001467728
26/12/2019,-0.005766383,0.002576709,0.003255836,0.003215153,-0.0071078966,0.003784719
24/12/2019,-0.006390699,-0.011288011,0.004854188,-0.002688599,0.0105841458,0.00229457
23/12/2019,-0.012161012,-0.015190166,-0.002974747,-0.005153934,-0.0185918149,-0.002463527
20/12/2019,0.010645394,0.014170227,-0.014644697,-0.003225598,0.0062863337,0.009638609
19/12/2019,0.005365498,0,-0.000292659,-0.01018015,0.0022957730,0.010145029
18/12/2019,0.009433781,-0.004069181,0.005085059,0.015756085,0.0055699750,0.009664043
17/12/2019,0.000153664,0.025187762,0.001569898,0.00101268,0.0021208916,0.003437099
16/12/2019,-0.003886896,0.007839079,-0.007142577,0.002297446,-0.0019282690,-0.012978385
13/12/2019,0.027530889,-0.005754711,0.007928373,0.024226293,0.0075413680,-0.010814363
11/12/2019,0.023249413,0.015773145,0.008586315,0.013090499,-0.0056130990,-0.005446545
10/12/2019,0.019358069,0.016564739,0.010762446,0.016122349,-0.0005788712,-0.001499851
09/12/2019,0.002192544,0.011924207,0.007239871,0.000307507,-0.0063455650,-0.000536042
06/12/2019,-0.027333783,-0.01997362,-0.013631574,-0.006591213,0.0075036427,-0.006358907
05/12/2019,-0.02915068,0.015621056,-0.013251816,0.000571258,-0.0198859325,-0.001829735
04/12/2019,-0.010985527,-0.004333701,-0.007341099,-0.002428738,0.0127657254,0.003720048
03/12/2019,-0.015321062,0.0368883,0.000878131,-0.005884624,0.0017272819,-0.009224678
02/12/2019,0.004911806,-0.022186157,-0.001268156,-0.00646734,0.0050067503,-0.001849832
29/11/2019,-0.009397273,0.00715665,-0.015573173,-0.006516327,-0.0011576308,0.005398564
28/11/2019,-0.000553144,-0.016982057,-0.001630295,0.001485111,0.0005786479,-0.00219746
27/11/2019,0.006605698,0.018640891,0.001726298,0.004279991,0.0023179458,-0.001651596
26/11/2019,-0.01973709,-0.029983221,-0.005074442,-0.01580702,0.0050407241,0.002006544
25/11/2019,-0.008888926,-0.009620491,0.005266398,0.000304398,-0.0075515898,0.000799638
22/11/2019,0.002264127,0.00106429,0.017432196,0.006140559,0.0017376199,-0.001701285
21/11/2019,0.000837993,-0.010593266,-0.006232967,-0.008042157,0.0019342366,-0.003368909
20/11/2019,-0.004281401,-0.006826017,0.000291295,5.61703E-05,-0.0065611968,-0.006294769
19/11/2019,0.006453723,-0.00729925,0.00252822,0.00482538,-0.0005768676,0.00132694
15/11/2019,0.002276034,0.005208345,-0.000875909,0.004704686,0.0038520849,-0.005132385
14/11/2019,-0.001188139,-0.008320329,-0.002816972,0.002086778,-0.0021204827,-0.000514166
13/11/2019,0.000445316,-0.019995642,-0.007634004,-4.89417E-05,-0.0023081372,0.003406079
12/11/2019,-0.008183319,-0.063427447,0.002505968,-0.011415412,0.0108171810,-0.01354271
11/11/2019,0.002113368,0.005254419,0.00125542,-0.002442878,0.0001942313,-0.001524446
08/11/2019,-0.008426892,-0.018035658,-0.005204339,-0.009511751,-0.0169495583,0.011053672
07/11/2019,0.00705021,-0.001879653,-0.008995295,0.006854522,0.0022944561,-0.004664264
06/11/2019,0.004925445,0.030507562,-0.000856992,0.004727701,-0.0001914059,-0.005092004
05/11/2019,-0.02698655,-0.006753475,-0.019698144,-0.00466494,0.0101953369,0.003428314
04/11/2019,0.006460935,-0.008616664,-0.010306019,2.76374E-05,-0.0025103808,0.00930934
01/11/2019,0.023888694,0.032456277,0.006765891,0.010952708,-0.0097880064,0.006377269
31/10/2019,-0.024614055,-0.003440652,0.010000551,-0.009286813,0.0082462832,0.014063944
30/10/2019,0.008056383,-0.046029267,-0.015194858,-0.002498783,0.0011560695,-0.005911333
29/10/2019,-0.004375978,0.057378958,0.001944706,0.001953292,-0.0026954194,0.005272392
28/10/2019,0.03234356,0.004975185,-0.001389487,0.008635924,0.0011542902,0.011557149
25/10/2019,0.002960866,0.019642989,0.015297379,-0.00888982,-0.0040342001,-0.011174764
24/10/2019,0.042033289,-0.007600696,0.009348923,0.00527058,0.0073119433,0.002341762
23/10/2019,-0.019414095,0.021429393,-0.006996313,0.00420991,-0.0042397443,0.002683224
22/10/2019,-0.000102802,0.017690369,0.014997918,-0.000965567,0.0003846894,-0.004065187
21/10/2019,0.008725021,0.029837004,0.02567094,0.00523887,0.0123888538,0.000994763
18/10/2019,-0.016201948,-0.001621184,-0.023852197,-0.006954942,-0.0029174386,0.00126903
17/10/2019,0.012527087,-0.02558775,0.002206168,-0.001344722,-0.0083164583,0.004691548
16/10/2019,0.001499421,-0.009950383,0.011104261,0.006772296,-0.0009625566,-0.006109263
15/10/2019,-0.024330362,0.003131631,0.010149409,-0.001268771,0.0030834482,-0.005713662
14/10/2019,-0.008147287,0.013684319,0.008768088,0.001963372,-0.0174117094,-0.000424651
11/10/2019,0,0.017103677,9.89065E-05,0.006613106,0.0131744149,-0.001626997
10/10/2019,0.003210757,0.019597688,0.008746751,0.010016036,-0.0005764243,-0.000629174
